,ticker,date_com,value,type,vol_liq,total
23,ABEV3,2018-12-18,0.32,JRS CAP PROPRIO,83,22.576
24,ABEV3,2019-12-19,0.4906,JRS CAP PROPRIO,83,34.61183
25,ABEV3,2020-12-17,0.4137,JRS CAP PROPRIO,83,29.186535
54,EGIE3,2018-12-11,1.0,DIVIDENDO,40,40.0
55,EGIE3,2018-12-26,0.4865626949,JRS CAP PROPRIO,50,20.678914533249998
56,EGIE3,2019-06-05,0.09400692,DIVIDENDO,25,2.350173
57,EGIE3,2019-02-12,1.0949497919,DIVIDENDO,50,54.747489595
58,EGIE3,2019-02-12,0.4338619496,JRS CAP PROPRIO,50,18.439132858
59,EGIE3,2020-07-08,0.8305737385,DIVIDENDO,50,41.528686925
60,EGIE3,2020-12-18,0.6795603315,DIVIDENDO,82,55.72394718299999
61,EGIE3,2020-12-18,0.2144797773,JRS CAP PROPRIO,82,14.94924047781
